id,lat,lon,city_name,pop_size,state,immunity
1,46.9752047,-123.8113726,Aberdeen city,17013,WA,0
2,47.6459431,-117.5791969,Airway Heights city,10757,WA,0
3,46.7915997,-117.2512267,Albion town,550,WA,0
4,47.281987,-122.2504673,Algona city,3290,WA,0
5,47.7106088,-118.9369897,Almira town,318,WA,0
6,48.4887249,-122.62398,Anacortes city,17637,WA,0
7,48.1703724,-122.1445532,Arlington city,19868,WA,0
8,46.3337257,-117.0398039,Asotin city,1204,WA,0
9,47.303773,-122.2100001,Auburn city,87256,WA,0
10,47.642487,-122.507764,Bainbridge Island city,24825,WA,0
11,45.7766564,-122.5413583,Battle Ground city,20743,WA,0
12,47.5853426,-122.2036464,Beaux Arts Village town,317,WA,0
13,47.597837,-122.1564797,Bellevue city,151854,WA,0
14,48.7534421,-122.4701786,Bellingham city,91482,WA,0
15,46.263709,-119.4789816,Benton City city,3479,WA,0
16,45.7131079,-121.4717782,Bingen city,778,WA,0
17,47.3147484,-122.0176847,Black Diamond city,4697,WA,0
18,48.9871896,-122.7487701,Blaine city,5884,WA,0
19,47.199502,-122.1630325,Bonney Lake city,22487,WA,0
20,47.7735312,-122.204376,Bothell city,48161,WA,0
21,47.5398769,-122.717048,Bremerton city,43505,WA,0
22,48.106954,-119.769827,Brewster city,1983,WA,0
23,48.0070058,-119.6725326,Bridgeport city,2141,WA,0
24,47.7923876,-122.2734318,Brier city,6560,WA,0
25,47.1622395,-122.020272,Buckley city,5114,WA,0
26,46.7952546,-122.8698152,Bucoda town,600,WA,0
27,47.4756052,-122.3446615,Burien city,52066,WA,0
28,48.4663548,-122.3288825,Burlington city,9152,WA,0
29,45.6018094,-122.4303812,Camas city,26065,WA,0
30,47.0823198,-122.0518407,Carbonado town,734,WA,0
31,47.6441877,-121.9006702,Carnation city,2158,WA,0
32,47.5180537,-120.4670363,Cashmere city,3248,WA,0
33,46.2718579,-122.9039247,Castle Rock city,2446,WA,0
34,46.205819,-123.384018,Cathlamet town,560,WA,0
35,46.7220501,-122.970947,Centralia city,18183,WA,0
36,46.6641763,-122.9654252,Chehalis city,7439,WA,0
37,47.8442821,-120.013572,Chelan city,4222,WA,0
